periodname,county,brucellosis,rift_valley_fever,anthrax,brucella
February 2022,Muranga County,6,,27,675
February 2022,Kiambu County,67,,,229
February 2022,Machakos County,69,,,116
February 2022,Vihiga County,82,,,245
February 2022,Migori County,440,,,1033
February 2022,Nandi County,615,6,,1454
February 2022,Nyeri County,4,,,116
February 2022,Kwale County,2,,,2
February 2022,Tharaka Nithi County,165,,,662
February 2023,Machakos County,52,,,170
February 2023,Laikipia County,24,,,77
February 2023,Kiambu County,19,,3,209
February 2023,Kericho County,704,,,2734
February 2023,Nyandarua County,55,,,442
February 2023,Migori County,399,,,1187
February 2023,Nakuru County,499,,,2191
February 2023,Busia County,85,,1,473
February 2023,Nyamira County,192,,,715
February 2023,Turkana County,162,,,747
February 2023,Embu County,120,,,545
February 2023,Siaya County,66,,,413
February 2023,Elgeyo Marakwet County,553,,,1467
February 2023,Isiolo County,155,,,437
February 2023,Kakamega County,141,,,729
February 2023,Nairobi County,767,,,917
February 2023,Trans Nzoia County,391,,,1804
February 2023,Narok County,579,,,1680
February 2023,Taita Taveta County,5,,,78
February 2023,Kirinyaga County,2,,,196
February 2023,Garissa County,175,,,566
February 2023,Mombasa County,,,,24
February 2023,Tana River County,36,,,132
February 2023,Lamu County,,,,7
February 2023,Kisii County,738,,,3488
February 2023,Makueni County,46,,,156
February 2023,Kilifi County,19,,,27
February 2023,Mandera County,68,,2,569
February 2023,Homa Bay County,263,,,825
February 2023,Uasin Gishu County,432,,,1653
February 2023,Vihiga County,69,,,233
February 2023,Kwale County,11,,2,
February 2023,Bomet County,71,,,629
February 2023,Baringo County,384,,1,1135
February 2023,Kitui County,112,,,448
February 2023,Wajir County,23,,,323
February 2023,Samburu County,60,,,303
February 2023,Meru County,65,,1,123
February 2023,Bungoma County,658,,,3200
February 2023,Marsabit County,234,,,466
February 2023,West Pokot County,429,,,1604
February 2023,Kajiado County,126,,,634
February 2023,Kisumu County,87,12,15,388
February 2023,Nyeri County,1,,,87
February 2023,Muranga County,41,,,42
February 2023,Tharaka Nithi County,55,,,472
February 2023,Nandi County,655,,,1264
February 2024,Kisumu County,121,,,521
February 2024,Taita Taveta County,2,,,63
February 2024,Nakuru County,464,,,2138
February 2024,Nandi County,542,,,1670
February 2024,Kilifi County,36,,1,5
February 2024,Machakos County,38,,581,164
February 2024,Kisii County,769,,,4565
February 2024,Nyamira County,185,,,567
February 2024,Makueni County,84,,,145
February 2024,Kiambu County,52,,,146
February 2024,Baringo County,405,112,,1677
February 2024,Kitui County,165,,,506
February 2024,Vihiga County,97,,,391
February 2024,Migori County,466,,,1558
February 2024,Kirinyaga County,17,,,237
February 2024,Trans Nzoia County,398,,,1913
February 2024,Samburu County,21,,,131
February 2024,Siaya County,89,,1,498
February 2024,Kajiado County,165,,38,754
February 2024,Busia County,86,1,,386
February 2024,Meru County,49,,,228
February 2024,Isiolo County,82,,,317
February 2024,Marsabit County,173,,,701
February 2024,Kakamega County,229,,,670
February 2024,West Pokot County,471,,,1868
February 2024,Nairobi County,89,,,871
February 2024,Wajir County,89,,,622
February 2024,Mombasa County,1,,,31
February 2024,Uasin Gishu County,596,,2,1445
February 2024,Nyeri County,,,,130
February 2024,Mandera County,67,,,240
February 2024,Tana River County,34,,1,105
February 2024,Homa Bay County,209,,,973
February 2024,Garissa County,92,,,593
February 2024,Tharaka Nithi County,48,,,341
February 2024,Lamu County,6,,,1
February 2024,Kwale County,10,,,16
February 2024,Kericho County,593,,,2300
February 2024,Muranga County,20,,528,64
February 2024,Narok County,871,,4,2735
February 2024,Turkana County,216,,,863
February 2024,Laikipia County,67,,,502
February 2024,Elgeyo Marakwet County,827,,,1382
February 2024,Nyandarua County,34,,,266
February 2024,Bungoma County,850,3,,3399
February 2024,Bomet County,83,,,703
February 2024,Embu County,84,,2,455
January 2022,Kajiado County,154,,,564
January 2022,Nairobi County,157,,12,1535
January 2022,Trans Nzoia County,441,,,2755
January 2022,Kakamega County,174,,2,725
January 2022,Tharaka Nithi County,244,,6,702
January 2022,Busia County,66,,1,494
January 2022,West Pokot County,537,,,2695
January 2022,Mandera County,83,,,294
January 2022,Tana River County,25,,32,212
January 2022,Isiolo County,104,,,587
January 2022,Bungoma County,984,,,4462
January 2022,Mombasa County,2,,5,128
January 2022,Meru County,163,,,172
January 2022,Muranga County,13,,,49
January 2022,Samburu County,38,,,204
January 2022,Kericho County,600,,,1930
January 2022,Homa Bay County,202,,1,737
January 2022,Uasin Gishu County,414,,1,1732
January 2022,Turkana County,187,,,878
January 2022,Laikipia County,50,,,234
January 2022,Embu County,33,,,403
January 2022,Kilifi County,,,98,12
January 2022,Elgeyo Marakwet County,539,,,1569
January 2022,Bomet County,96,,,577
January 2022,Garissa County,90,,,607
January 2022,Nyandarua County,96,,,651
January 2022,Lamu County,,,,16
January 2022,Narok County,547,,34,1393
January 2022,Taita Taveta County,10,,,83
January 2022,Wajir County,44,,,296
January 2022,Kisii County,617,,,2820
January 2022,Makueni County,163,,,296
January 2022,Marsabit County,216,,,408
January 2022,Kirinyaga County,2,,,68
January 2022,Kitui County,194,,,600
January 2022,Kwale County,3,,,
January 2022,Baringo County,316,,,1454
January 2022,Vihiga County,70,,,313
January 2022,Machakos County,69,,,354
January 2022,Siaya County,53,,,385
January 2022,Nandi County,579,120,51,1393
January 2022,Migori County,496,,,1062
January 2022,Nakuru County,1422,,,2426
January 2022,Nyamira County,318,,,710
January 2022,Nyeri County,22,,,93
January 2022,Kiambu County,62,,,449
January 2022,Kisumu County,57,,303,623
January 2023,Nakuru County,557,,303,2060
January 2023,Siaya County,71,,,384
January 2023,Kilifi County,37,,158,56
January 2023,Nandi County,462,,,844
January 2023,Turkana County,218,,,737
January 2023,Kisumu County,358,,1,617
January 2023,Elgeyo Marakwet County,460,,,1153
January 2023,Laikipia County,43,,,150
January 2023,Kericho County,689,,,2740
January 2023,Embu County,91,,,401
January 2023,Marsabit County,145,,,467
January 2023,Tana River County,24,,,136
January 2023,Nyandarua County,30,,,573
January 2023,Makueni County,45,,,203
January 2023,Narok County,534,,6,890595
January 2023,Kirinyaga County,2,,,125
January 2023,Homa Bay County,212,,,639
January 2023,Mandera County,30,,,250
January 2023,Uasin Gishu County,491,,,1439
January 2023,Taita Taveta County,8,,,73
January 2023,Kisii County,641,,,3552
January 2023,Garissa County,42,,,525
January 2023,Nyeri County,1,,,94
January 2023,Meru County,116,,,99
January 2023,Lamu County,1,,,3
January 2023,Mombasa County,1,,4,30
January 2023,Wajir County,14,,,192
January 2023,Bungoma County,685,,,3341
January 2023,Samburu County,56,,,230
January 2023,Nairobi County,151,5,18,840
January 2023,Vihiga County,72,,,236
January 2023,Kakamega County,195,,9,788
