periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Brucellosis,MOH 705A Rev 2020_ Rift valley fever,MOH 705A Rev 2020_ Suspected anthrax,MOH 706_Brucella
202308,August 2023,202308,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,59,,28,465
202308,August 2023,202308,,yhCUgGcCcOo,Machakos County,KE_County_16,,47,,,294
202308,August 2023,202308,,N7YETT3A9r1,Kwale County,KE_County_2,,16,,,13
202408,August 2024,202408,,Eey8fT4Im3y,Marsabit County,KE_County_10,,140,,,535
202408,August 2024,202408,,BoDytkJQ4Qi,Makueni County,KE_County_17,,92,,,87
202408,August 2024,202408,,j8o6iO4Njsi,Kitui County,KE_County_15,,169,,,516
202408,August 2024,202408,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,5,,,58
202408,August 2024,202408,,sANMZ3lpqGs,Vihiga County,KE_County_38,,64,,,236
202408,August 2024,202408,,vvOK1BxTbet,Baringo County,KE_County_30,,324,,,1285
202408,August 2024,202408,,HMNARUV2CW4,Bomet County,KE_County_36,,113,,,969
202408,August 2024,202408,,Y52XNJ50hYb,Meru County,KE_County_12,,42,,,75
202408,August 2024,202408,,NjWSbQTwys4,Lamu County,KE_County_5,,6,,1,6
202408,August 2024,202408,,nrI2khZx3d0,Kilifi County,KE_County_3,,19,,,15
202408,August 2024,202408,,uyOrcHZBpW0,Garissa County,KE_County_7,,78,,,543
202408,August 2024,202408,,kphDeKClFch,Turkana County,KE_County_23,,200,,,432
202408,August 2024,202408,,o36zCRjSd4G,Samburu County,KE_County_25,,28,,,199
202408,August 2024,202408,,wsBsC6gjHvn,Mombasa County,KE_County_1,,10,,,9
202408,August 2024,202408,,CeLsrJOH0g9,Wajir County,KE_County_8,,83,,,663
202408,August 2024,202408,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,170,,,1056
202408,August 2024,202408,,R6f9znhg37c,Mandera County,KE_County_9,,90,,,979
202408,August 2024,202408,,jkG3zaihdSs,Nairobi County,KE_County_47,,135,4,183,718
202408,August 2024,202408,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,11,,,100
202408,August 2024,202408,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,552,,,1814
202408,August 2024,202408,,sPkRcDvhGWA,Kisii County,KE_County_45,,713,,,3520
202408,August 2024,202408,,JsH2bnvNt2d,Tana River County,KE_County_4,,21,,2,128
202408,August 2024,202408,,mYZacFNIB3h,Nyandarua County,KE_County_18,,34,,,281
202408,August 2024,202408,,fVra3Pwta0Q,Migori County,KE_County_44,,344,,,1155
202408,August 2024,202408,,Tvf1zgVZ0K4,Busia County,KE_County_40,,42,,440,472
202408,August 2024,202408,,uepLTG8wGWJ,Nyamira County,KE_County_46,,288,,,616
202408,August 2024,202408,,qKzosKQPl6G,Kiambu County,KE_County_22,,24,,,77
202408,August 2024,202408,,ihZsJ8alvtb,Kericho County,KE_County_35,,394,,,1708
202408,August 2024,202408,,ahwTMNAJvrL,Muranga County,KE_County_21,,2,,66,23
202408,August 2024,202408,,kqJ83J2D72s,Narok County,KE_County_33,,752,,14,2158
202408,August 2024,202408,,bzOfj0iwfDH,Isiolo County,KE_County_11,,43,2,1,267
202408,August 2024,202408,,BjC1xL40gHo,Kakamega County,KE_County_37,,151,1,,613
202408,August 2024,202408,,XWALbfAPa6n,West Pokot County,KE_County_24,,520,,,1964
202408,August 2024,202408,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,558,,,1483
202408,August 2024,202408,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,118,,7,723
202408,August 2024,202408,,xuFdFy6t9AH,Laikipia County,KE_County_31,,20,,1,149
202408,August 2024,202408,,mThvosEflAU,Trans Nzoia County,KE_County_26,,305,,,1795
202408,August 2024,202408,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,736,,,2425
202408,August 2024,202408,,PFu8alU2KWG,Embu County,KE_County_14,,54,,,398
202408,August 2024,202408,,ptWVfaCIdVx,Nyeri County,KE_County_19,,,,58,151
202408,August 2024,202408,,ob6SxuRcqU4,Nakuru County,KE_County_32,,379,,,1767
202408,August 2024,202408,,u4t9H8XyU9P,Siaya County,KE_County_41,,64,,,505
202408,August 2024,202408,,t0J75eHKxz5,Nandi County,KE_County_29,,508,,,1266
202408,August 2024,202408,,tAbBVBbueqD,Kisumu County,KE_County_42,,148,,,482
202408,August 2024,202408,,yhCUgGcCcOo,Machakos County,KE_County_16,,25,,2,99
202408,August 2024,202408,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,63,,,589
202408,August 2024,202408,,N7YETT3A9r1,Kwale County,KE_County_2,,2,,,
202212,December 2022,202212,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,144,,,702
202212,December 2022,202212,,bzOfj0iwfDH,Isiolo County,KE_County_11,,85,,14,314
202212,December 2022,202212,,mThvosEflAU,Trans Nzoia County,KE_County_26,,394,,,1811
202212,December 2022,202212,,kqJ83J2D72s,Narok County,KE_County_33,,591,,,1696
202212,December 2022,202212,,wsBsC6gjHvn,Mombasa County,KE_County_1,,,,,43
202212,December 2022,202212,,ihZsJ8alvtb,Kericho County,KE_County_35,,608,,,2214
202212,December 2022,202212,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,34,,,464
202212,December 2022,202212,,JsH2bnvNt2d,Tana River County,KE_County_4,,13,,,70
202212,December 2022,202212,,jkG3zaihdSs,Nairobi County,KE_County_47,,119,,9,945
202212,December 2022,202212,,R6f9znhg37c,Mandera County,KE_County_9,,32,,,218
202212,December 2022,202212,,ahwTMNAJvrL,Muranga County,KE_County_21,,7,,,61
202212,December 2022,202212,,N7YETT3A9r1,Kwale County,KE_County_2,,15,,4,33
202212,December 2022,202212,,yhCUgGcCcOo,Machakos County,KE_County_16,,62,,,98
202212,December 2022,202212,,o36zCRjSd4G,Samburu County,KE_County_25,,34,,16,97
202212,December 2022,202212,,Y52XNJ50hYb,Meru County,KE_County_12,,60,,,80
202212,December 2022,202212,,ptWVfaCIdVx,Nyeri County,KE_County_19,,2,,,102
202212,December 2022,202212,,j8o6iO4Njsi,Kitui County,KE_County_15,,109,,1,375
202212,December 2022,202212,,vvOK1BxTbet,Baringo County,KE_County_30,,412,,,1145
202212,December 2022,202212,,qKzosKQPl6G,Kiambu County,KE_County_22,,47,,,205
202212,December 2022,202212,,tAbBVBbueqD,Kisumu County,KE_County_42,,127,,,559
