"date","county","pop"
2015-05-01,"Nandi",829697
2015-05-01,"Narok",1031836
2015-05-01,"Nyamira",591648
2015-05-01,"Nyandarua",591626
2015-05-01,"Nyeri",728072
2015-05-01,"Samburu",277232
2015-05-01,"Siaya",923205
2015-05-01,"Taita Taveta",324349
2015-05-01,"Tana River",284812
2015-05-01,"Tharaka Nithi",376618
2015-05-01,"Trans Nzoia",918316
2015-05-01,"Turkana",835294
2015-05-01,"Uasin Gishu",1072448
2015-05-01,"Vihiga",570438
2015-05-01,"Wajir",702548
2015-05-01,"West Pokot",566725
2015-06-01,"Baringo",611244
2015-06-01,"Bomet",829015
2015-06-01,"Bungoma",1563012
2015-06-01,"Busia",826324
2015-06-01,"Elgeyo Marakwet",428862
2015-06-01,"Embu",583909
2015-06-01,"Garissa",762507
2015-06-01,"Homa Bay",1047489
2015-06-01,"Isiolo",243784
2015-06-01,"Kajiado",1013913
2015-06-01,"Kakamega",1737408
2015-06-01,"Kericho",854404
2015-06-01,"Kiambu",2234597
2015-06-01,"Kirinyaga",590397
2015-06-01,"Kisii",1219401
2015-06-01,"Kisumu",1078975
2015-06-01,"Kitui",1082624
2015-06-01,"Kwale",787521
2015-06-01,"Laikipia",479084
2015-06-01,"Lamu",129685
2015-06-01,"Machakos",1364247
2015-06-01,"Makueni",944526
2015-06-01,"Mandera",781661
2015-06-01,"Marsabit",418065
2015-06-01,"Meru",1469270
2015-06-01,"Migori",1012640
2015-06-01,"Mombasa",1106362
2015-06-01,"Murang'a",1012137
2015-06-01,"Nairobi",4110625
2015-06-01,"Nakuru",1984595
2015-06-01,"Nandi",829697
2015-06-01,"Narok",1031836
2015-06-01,"Nyamira",591648
2015-06-01,"Nyandarua",591626
2015-06-01,"Nyeri",728072
2015-06-01,"Samburu",277232
2015-06-01,"Siaya",923205
2015-06-01,"Taita Taveta",324349
2015-06-01,"Tana River",284812
2015-06-01,"Tharaka Nithi",376618
2015-06-01,"Trans Nzoia",918316
2015-06-01,"Turkana",835294
2015-06-01,"Uasin Gishu",1072448
2015-06-01,"Vihiga",570438
2015-06-01,"Wajir",702548
2015-06-01,"West Pokot",566725
2015-07-01,"Baringo",611244
2015-07-01,"Bomet",829015
2015-07-01,"Bungoma",1563012
2015-07-01,"Busia",826324
2015-07-01,"Elgeyo Marakwet",428862
2015-07-01,"Embu",583909
