"","year","date","county","human_incidence","catt_incidence","cam_incidence","goat_incidence","shp_incidence","hum_cases","catt_cases","cam_cases","goat_cases","shp_cases"
"136",2014,2014-05-01,"Kericho",0.2812,0,NA,0,0,237,0,0,0,0
"137",2014,2014-01-01,"Kericho",0.2835,0,NA,0,0,239,0,0,0,0
"138",2014,2014-02-01,"Kericho",0.1993,0,NA,0,0,168,0,0,0,0
"139",2014,2014-03-01,"Kericho",0.3357,0,NA,0,0,283,0,0,0,0
"140",2014,2014-11-01,"Kericho",0.0724,0,NA,0,0,61,0,0,0,0
"141",2014,2014-06-01,"Kericho",0.293,0,NA,0,0,247,0,0,0,0
"142",2014,2014-04-01,"Kericho",0.2456,0,NA,0,0,207,0,0,0,0
"143",2014,2014-07-01,"Kericho",0.4816,0,NA,0,0,406,0,0,0,0
"144",2014,2014-08-01,"Kericho",0.3535,0,NA,0,0,298,0,0,0,0
"145",2014,2014-05-01,"Kiambu",0.0639,0,NA,0,0,140,0,0,0,0
"146",2014,2014-10-01,"Kiambu",0.2022,0,NA,0,0,443,0,0,0,0
"147",2014,2014-08-01,"Kiambu",0.1136,0,NA,0,0,249,0,0,0,0
"148",2014,2014-12-01,"Kiambu",0.0575,0,NA,0,0,126,0,0,0,0
"149",2014,2014-01-01,"Kiambu",0.1972,0,NA,0,0,432,0,0,0,0
"150",2014,2014-09-01,"Kiambu",0.0456,0,NA,0,0,100,0,0,0,0
"151",2014,2014-03-01,"Kiambu",0.063,0,NA,0,0,138,0,0,0,0
"152",2014,2014-02-01,"Kiambu",0.0361,0,NA,0,0,79,0,0,0,0
"153",2014,2014-11-01,"Kiambu",0.0575,0,NA,0,0,126,0,0,0,0
"154",2014,2014-07-01,"Kiambu",0.1223,0,NA,0,0,268,0,0,0,0
"155",2014,2014-06-01,"Kiambu",0.0529,0,NA,0,0,116,0,0,0,0
"156",2014,2014-04-01,"Kiambu",0.1903,0,NA,0,0,417,0,0,0,0
"157",2014,2014-10-01,"Kilifi",0.0023,0,0,0,0,3,0,0,0,0
"158",2014,2014-09-01,"Kilifi",0.0015,0,0,0,0,2,0,0,0,0
"159",2014,2014-12-01,"Kilifi",0.0023,0,0,0,0,3,0,0,0,0
"160",2014,2014-04-01,"Kilifi",0.0053,0,0,0,0,7,0,0,0,0
"161",2014,2014-07-01,"Kilifi",0.0023,0,0,0,0,3,0,0,0,0
"162",2014,2014-01-01,"Kilifi",8e-04,0,0,0,0,1,0,0,0,0
"163",2014,2014-11-01,"Kilifi",0.0023,0,0,0,0,3,0,0,0,0
"164",2014,2014-01-01,"Kirinyaga",0.0017,0,NA,0,0,1,0,0,0,0
"165",2014,2014-12-01,"Kirinyaga",0.0171,0,NA,0,0,10,0,0,0,0
"166",2014,2014-11-01,"Kirinyaga",0.0256,0,NA,0,0,15,0,0,0,0
"167",2014,2014-03-01,"Kirinyaga",0.0068,0,NA,0,0,4,0,0,0,0
"168",2014,2014-07-01,"Kirinyaga",0.0085,0,NA,0,0,5,0,0,0,0
"169",2014,2014-05-01,"Kirinyaga",0.0222,0,NA,0,0,13,0,0,0,0
"170",2014,2014-02-01,"Kisii",0.3444,0,NA,0,0,416,0,0,0,0
"171",2014,2014-01-01,"Kisii",0.3701,0,NA,0,0,447,0,0,0,0
"172",2014,2014-03-01,"Kisii",0.3552,0,NA,0,0,429,0,0,0,0
"173",2014,2014-07-01,"Kisii",0.5274,0,NA,0,0,637,0,0,0,0
"174",2014,2014-12-01,"Kisii",1.107,0,NA,0,0,1337,0,0,0,0
"175",2014,2014-08-01,"Kisii",0.2947,0,NA,0,0,356,0,0,0,0
"176",2014,2014-09-01,"Kisii",0.4314,0,NA,0,0,521,0,0,0,0
"177",2014,2014-06-01,"Kisii",0.5332,0,NA,0,0,644,0,0,0,0
"178",2014,2014-11-01,"Kisii",0.3875,0,NA,0,0,468,0,0,0,0
"179",2014,2014-04-01,"Kisii",0.3527,0,NA,0,0,426,0,0,0,0
"180",2014,2014-05-01,"Kisii",0.3676,0,NA,0,0,444,0,0,0,0
"181",2014,2014-10-01,"Kisii",1.0316,0,NA,0,0,1246,0,0,0,0
"182",2014,2014-02-01,"Kisumu",0.0698,0,NA,0,0,74,0,0,0,0
"183",2014,2014-08-01,"Kisumu",0.0933,0,NA,0,0,99,0,0,0,0
"184",2014,2014-06-01,"Kisumu",0.2093,0,NA,0,0,222,0,0,0,0
"185",2014,2014-09-01,"Kisumu",0.0933,0,NA,0,0,99,0,0,0,0
"186",2014,2014-10-01,"Kisumu",0.0764,0,NA,0,0,81,0,0,0,0
"187",2014,2014-11-01,"Kisumu",0.0358,0,NA,0,0,38,0,0,0,0
"188",2014,2014-01-01,"Kisumu",0.1037,0,NA,0,0,110,0,0,0,0
"189",2014,2014-07-01,"Kisumu",0.1028,0,NA,0,0,109,0,0,0,0
"190",2014,2014-03-01,"Kisumu",0.0669,0,NA,0,0,71,0,0,0,0
"191",2014,2014-04-01,"Kisumu",0.0839,0,NA,0,0,89,0,0,0,0
"192",2014,2014-05-01,"Kisumu",0.0773,0,NA,0,0,82,0,0,0,0
"193",2014,2014-12-01,"Kisumu",0.0915,0,NA,0,0,97,0,0,0,0
"194",2014,2014-10-01,"Kitui",0.1832,0,0,0,0,196,0,0,0,0
"195",2014,2014-08-01,"Kitui",0.1458,0,0,0,0,156,0,0,0,0
"196",2014,2014-02-01,"Kitui",0.2468,0,0,0,0,264,0,0,0,0
"197",2014,2014-04-01,"Kitui",0.1692,0,0,0,0,181,0,0,0,0
"198",2014,2014-01-01,"Kitui",0.3805,0,0,0,0,407,0,0,0,0
"199",2014,2014-03-01,"Kitui",0.1795,0,0,0,0,192,0,0,0,0
"200",2014,2014-09-01,"Kitui",0.1318,0,0,0,0,141,0,0,0,0
"201",2014,2014-07-01,"Kitui",0.2926,0,0,0,0,313,0,0,0,0
"202",2014,2014-05-01,"Kitui",0.158,0,0,0,0,169,0,0,0,0
"203",2014,2014-12-01,"Kitui",0.1449,0,0,0,0,155,0,0,0,0
"204",2014,2014-06-01,"Kitui",0.1748,0,0,0,0,187,0,0,0,0
"205",2014,2014-11-01,"Kitui",0.1711,0,0,0,0,183,0,0,0,0
"206",2014,2014-06-01,"Kwale",0.0013,0,0,0,0,1,0,0,0,0
"207",2014,2014-10-01,"Kwale",0.0013,0,0,0,0,1,0,0,0,0
"208",2014,2014-11-01,"Kwale",0.0013,0,0,0,0,1,0,0,0,0
"209",2014,2014-12-01,"Kwale",0.0065,0,0,0,0,5,0,0,0,0
"210",2014,2014-02-01,"Laikipia",0.7792,0,0,0,0,366,0,0,0,0
"211",2014,2014-03-01,"Laikipia",0.0958,0,0,0,0,45,0,0,0,0
"212",2014,2014-12-01,"Laikipia",0.1512,0,0,0,0,71,0,0,0,0
"213",2014,2014-09-01,"Laikipia",0.1703,0,0,0,0,80,0,0,0,0
"214",2014,2014-06-01,"Laikipia",0.2342,0,0,0,0,110,0,0,0,0
"215",2014,2014-11-01,"Laikipia",0.2746,0,0,0,0,129,0,0,0,0
"216",2014,2014-10-01,"Laikipia",0.1256,0,0,0,0,59,0,0,0,0
"217",2014,2014-08-01,"Laikipia",0.2576,0,0,0,0,121,0,0,0,0
"218",2014,2014-07-01,"Laikipia",0.1874,0,0,0,0,88,0,0,0,0
"219",2014,2014-04-01,"Laikipia",0.2853,0,0,0,0,134,0,0,0,0
"220",2014,2014-01-01,"Laikipia",0.2789,0,0,0,0,131,0,0,0,0
"221",2014,2014-05-01,"Laikipia",0.2299,0,0,0,0,108,0,0,0,0
"222",2014,2014-05-01,"Lamu",0.3403,0,0,0,0,43,0,0,0,0
"223",2014,2014-08-01,"Lamu",0.0079,0,0,0,0,1,0,0,0,0
"224",2014,2014-01-01,"Lamu",0.0079,0,0,0,0,1,0,0,0,0
"225",2014,2014-01-01,"Machakos",0.2614,0,0,0,0,353,0,0,0,0
"226",2014,2014-02-01,"Machakos",0.1503,0,0,0,0,203,0,0,0,0
"227",2014,2014-08-01,"Machakos",0.7532,0,0,0,0,1017,0,0,0,0
"228",2014,2014-03-01,"Machakos",0.1044,0,0,0,0,141,0,0,0,0
"229",2014,2014-07-01,"Machakos",0.1689,0,0,0,0,228,0,0,0,0
"230",2014,2014-12-01,"Machakos",0.0941,0,0,0,0,127,0,0,0,0
"231",2014,2014-05-01,"Machakos",0.3348,0,0,0,0,452,0,0,0,0
"232",2014,2014-11-01,"Machakos",0.0963,0,0,0,0,130,0,0,0,0
"233",2014,2014-06-01,"Machakos",0.1081,0,0,0,0,146,0,0,0,0
"234",2014,2014-09-01,"Machakos",0.1444,0,0,0,0,195,0,0,0,0
"235",2014,2014-04-01,"Machakos",0.1607,0,0,0,0,217,0,0,0,0
"236",2014,2014-10-01,"Machakos",0.1007,0,0,0,0,136,0,0,0,0
"237",2014,2014-02-01,"Makueni",0.7676,0,0,0,0,717,0,0,0,0
"238",2014,2014-08-01,"Makueni",0.3319,0,0,0,0,310,0,0,0,0
"239",2014,2014-10-01,"Makueni",0.5107,0,0,0,0,477,0,0,0,0
"240",2014,2014-03-01,"Makueni",0.167,0,0,0,0,156,0,0,0,0
"241",2014,2014-12-01,"Makueni",0.2013,0,0,0,0,188,0,0,0,0
"242",2014,2014-05-01,"Makueni",0.3736,0,0,0,0,349,0,0,0,0
"243",2014,2014-01-01,"Makueni",0.3212,0,0,0,0,300,0,0,0,0
"244",2014,2014-09-01,"Makueni",0.318,0,0,0,0,297,0,0,0,0
"245",2014,2014-06-01,"Makueni",0.2495,0,0,0,0,233,0,0,0,0
"246",2014,2014-11-01,"Makueni",0.3447,0,0,0,0,322,0,0,0,0
"247",2014,2014-04-01,"Makueni",0.2355,0,0,0,0,220,0,0,0,0
"248",2014,2014-07-01,"Makueni",0.1916,0,0,0,0,179,0,0,0,0
"249",2014,2014-02-01,"Mandera",0.0538,0,0,0,0,41,0,0,0,0
"250",2014,2014-12-01,"Mandera",0.0368,0,0,0,0,28,0,0,0,0
"251",2014,2014-03-01,"Mandera",0.0814,0,0,0,0,62,0,0,0,0
"252",2014,2014-08-01,"Mandera",0.1733,0,0,0,0,132,0,0,0,0
"253",2014,2014-06-01,"Mandera",0.1497,0,0,0,0,114,0,0,0,0
"254",2014,2014-10-01,"Mandera",0.214,0,0,0,0,163,0,0,0,0
"255",2014,2014-11-01,"Mandera",0.1037,0,0,0,0,79,0,0,0,0
"256",2014,2014-01-01,"Mandera",0.0394,0,0,0,0,30,0,0,0,0
"257",2014,2014-05-01,"Mandera",0.0932,0,0,0,0,71,0,0,0,0
"258",2014,2014-09-01,"Mandera",0.1405,0,0,0,0,107,0,0,0,0
"259",2014,2014-07-01,"Mandera",0.1943,0,0,0,0,148,0,0,0,0
"260",2014,2014-04-01,"Mandera",0.1103,0,0,0,0,84,0,0,0,0
"261",2014,2014-07-01,"Marsabit",0.5389,0,0,0,0,220,0,0,0,0
"262",2014,2014-12-01,"Marsabit",0.485,0,0,0,0,198,0,0,0,0
"263",2014,2014-10-01,"Marsabit",0.3895,0,0,0,0,159,0,0,0,0
"264",2014,2014-01-01,"Marsabit",0.5389,0,0,0,0,220,0,0,0,0
"265",2014,2014-08-01,"Marsabit",0.5169,0,0,0,0,211,0,0,0,0
"266",2014,2014-04-01,"Marsabit",0.3062,0,0,0,0,125,0,0,0,0
"267",2014,2014-05-01,"Marsabit",0.3748,0,0,0,0,153,0,0,0,0
"268",2014,2014-03-01,"Marsabit",0.2694,0,0,0,0,110,0,0,0,0
"269",2014,2014-09-01,"Marsabit",0.6932,0,0,0,0,283,0,0,0,0
"270",2014,2014-02-01,"Marsabit",0.5658,0,0,0,0,231,0,0,0,0
"271",2014,2014-06-01,"Marsabit",0.4385,0,0,0,0,179,0,0,0,0
"272",2014,2014-11-01,"Marsabit",0.5732,0,0,0,0,234,0,0,0,0
"273",2014,2014-02-01,"Meru",0.0434,0,0,0,0,63,0,0,0,0
"274",2014,2014-01-01,"Meru",0.1971,0,0,0,0,286,0,0,0,0
"275",2014,2014-08-01,"Meru",0.0427,0,0,0,0,62,0,0,0,0
"276",2014,2014-11-01,"Meru",0.0193,0,0,0,0,28,0,0,0,0
"277",2014,2014-03-01,"Meru",0.2633,0,0,0,0,382,0,0,0,0
"278",2014,2014-05-01,"Meru",0.2371,0,0,0,0,344,0,0,0,0
"279",2014,2014-09-01,"Meru",0.0255,0,0,0,0,37,0,0,0,0
"280",2014,2014-04-01,"Meru",0.0489,0,0,0,0,71,0,0,0,0
