County,Sub-County,Ward,sub location,Latitude,Longitude,Locality,Date of Start of Outbreak/Event,month,year,,Date of Report,Month,year,Disease/Condition,Nature of Diagnosis,Test Used,Species Affected,Number at Risk,No. sick,Number Dead,Number Slaughtered,Number Destroyed,Production System,Number of Humans Affected (If zoonosis),Disease Control Method,Number Vaccinated,"Organisation (GOK, Private)",Source
Kirinyaga,Kirinyaga East,Kabare,,-0.7588699,36.4310768,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588725,36.4310575,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,33,2,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.758866,36.4310796,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588904,36.431048,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Vector Control, Quarantine]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588776,36.4310736,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.758878,36.4310604,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,32,3,23,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588644,36.4310651,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588749,36.4310582,Village/Farm,12/16/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588715,36.4310759,Village/Farm,12/15/2021,December,2021,,12/15/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588707,36.4310844,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Nairobi,Embakasi East,Mihango,,-0.7588781,36.4310725,Village/Farm,12/22/2021,December,2021,,12/22/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Other]",0,GOK,KABS
Nairobi,Embakasi East,Mihango,,-0.860628,37.226172,Village/Farm,12/22/2021,December,2021,,12/22/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,[Treatment],0,GOK,KABS
Nairobi,Embakasi East,Mihango,,-0.758884,36.4310556,Village/Farm,12/22/2021,December,2021,,12/22/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Other]",0,GOK,KABS
Nairobi,Embakasi East,Mihango,,-0.7588819,36.4310687,Village/Farm,12/22/2021,December,2021,,12/22/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,[Treatment],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588825,36.4310515,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,21,12,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Nairobi,Embakasi East,Mihango,,-0.758875,36.4310588,Village/Farm,12/22/2021,December,2021,,12/22/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,[Treatment],0,GOK,KABS
Nairobi,Embakasi East,Mihango,,-0.7589067,36.4308774,Village/Farm,12/22/2021,December,2021,,12/22/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Other]",0,GOK,KABS
